
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
1/2/3/6/8/9/10/11/12       51 -1022.70 2150.76 199.04   0.00
1/3/5/6/9                  63 -1009.83 2150.81 199.09   0.00
1/2/3/5/6/7/8/10/11/12     68 -1004.41 2150.83 199.11   0.00
3/4/5/8/11                 38 -1036.50 2150.85 199.14   0.00
1/3/5/6/7/10               61 -1012.08 2150.98 199.26   0.00
1/2/3/6/7/8/9/10/12        51 -1022.91 2151.17 199.45   0.00
2/3/4/8/10/12              23 -1052.24 2151.17 199.46   0.00
1/3/5/6/7/9/12             65 -1008.02 2151.52 199.80   0.00
1/3/5/6/8/10/12            62 -1011.35 2151.68 199.97   0.00
1/3/5/6/7/9                64 -1009.22 2151.76 200.04   0.00
2/3/4/10/11/12             23 -1052.54 2151.77 200.05   0.00
2/3/4/7/10/12              23 -1052.55 2151.79 200.07   0.00
1/3/5/6/9/11/12            65 -1008.24 2151.96 200.25   0.00
1/2/3/6/7/8/9/10/11/12     52 -1022.29 2152.07 200.35   0.00
3/4/5/7/10/12              41 -1033.99 2152.15 200.43   0.00
1/3/5/6/10/11/12           62 -1011.59 2152.16 200.45   0.00
3/4/5/10                   39 -1036.10 2152.17 200.45   0.00
3/4/5/8/10/12              41 -1034.00 2152.17 200.46   0.00
1/3/5/6/9/11               64 -1009.48 2152.27 200.55   0.00
2/3/4/10                   21 -1054.89 2152.36 200.64   0.00
1/3/5/6/7/8/10/12          63 -1010.61 2152.37 200.66   0.00
1/3/5/6/8/9/12             65 -1008.49 2152.47 200.75   0.00
1/3/5/6/8/9                64 -1009.58 2152.47 200.75   0.00
3/4/5/7/8/11               39 -1036.26 2152.47 200.76   0.00
1/3/5/6/10/11              61 -1012.86 2152.55 200.83   0.00
1/3/5/6/8/10               61 -1012.87 2152.56 200.84   0.00
3/4/5/10/11/12             41 -1034.29 2152.75 201.04   0.00
1/3/5/6/7/10/11/12         63 -1010.85 2152.85 201.13   0.00
1/3/5/6/7/8/10             62 -1012.03 2153.04 201.32   0.00
1/3/5/6/7/10/11            62 -1012.05 2153.08 201.36   0.00
2/3/4/12                   19 -1057.33 2153.14 201.42   0.00
1/3/5/6/7/9/11/12          66 -1007.75 2153.16 201.44   0.00
2/3/4/8/10/11/12           24 -1052.24 2153.23 201.51   0.00
2/3/4/7/8/10/12            24 -1052.24 2153.23 201.51   0.00
1/3/5/6/7/9/11             65 -1008.94 2153.35 201.64   0.00
1/3/5/6/7/8/9              65 -1008.97 2153.42 201.70   0.00
1/3/5/6/7/8/9/12           66 -1007.95 2153.55 201.83   0.00
1/2/3/6/10                 42 -1033.70 2153.67 201.95   0.00
3/4/5/7/10                 40 -1035.81 2153.69 201.98   0.00
3/4/5/7/8/10/12            42 -1033.71 2153.69 201.98   0.00
1/3/5/6/8/10/11/12         63 -1011.31 2153.76 202.04   0.00
2/3/4/7/10/11/12           24 -1052.52 2153.79 202.07   0.00
1/3/5/6/8/9/11             65 -1009.28 2154.03 202.32   0.00
1/3/5/6/8/9/11/12          66 -1008.20 2154.05 202.33   0.00
3/4/5/7/10/11/12           42 -1033.89 2154.06 202.35   0.00
1/2/3/6/7/10               43 -1032.88 2154.14 202.43   0.00
3/4/5/8/10                 40 -1036.07 2154.21 202.49   0.00
3/4/5/10/11                40 -1036.08 2154.23 202.51   0.00
2/3/4/8/12                 20 -1056.86 2154.23 202.52   0.00
3/4/5/8/10/11/12           42 -1033.98 2154.24 202.53   0.00
2/3/4/8/10                 22 -1054.87 2154.37 202.65   0.00
2/3/4/7/10                 22 -1054.89 2154.40 202.69   0.00
2/3/4/10/11                22 -1054.89 2154.41 202.70   0.00
1/3/5/6/7/8/10/11/12       64 -1010.59 2154.49 202.77   0.00
1/2/3/6/10/11              43 -1033.06 2154.51 202.80   0.00
1/3/5/6/8/10/11            62 -1012.79 2154.57 202.85   0.00
1/2/3/5/6                  61 -1014.03 2154.88 203.16   0.00
1/2/3/6/10/12              43 -1033.30 2154.98 203.27   0.00
2/3/4/11/12                20 -1057.29 2155.10 203.38   0.00
2/3/4                      18 -1059.34 2155.11 203.39   0.00
1/3/5/6/7/8/9/11           66 -1008.73 2155.11 203.39   0.00
1/3/5/6/7/8/10/11          63 -1011.99 2155.12 203.40   0.00
2/3/4/7/12                 20 -1057.33 2155.18 203.47   0.00
1/2/3/6/7/10/11            44 -1032.37 2155.24 203.52   0.00
1/3/5/6/7/8/9/11/12        67 -1007.71 2155.24 203.52   0.00
2/3/4/7/8/10/11/12         25 -1052.24 2155.28 203.57   0.00
1/2/3/5/6/7                62 -1013.25 2155.49 203.77   0.00
1/2/3/6/8/10               43 -1033.57 2155.53 203.81   0.00
1/2/4/9/10/12              26 -1051.33 2155.54 203.83   0.00
1/2/3/6/7/10/12            44 -1032.53 2155.56 203.84   0.00
3/4/5/7/8/10/11/12         43 -1033.66 2155.70 203.99   0.00
3/4/5/7/10/11              41 -1035.77 2155.71 203.99   0.00
3/4/5/7/8/10               41 -1035.80 2155.77 204.06   0.00
1/3/6/9/10/12              45 -1031.62 2155.85 204.13   0.00
1/2/3/6/10/11/12           44 -1032.77 2156.04 204.33   0.00
1/2/3/6/7/8/10             44 -1032.78 2156.05 204.33   0.00
1/2/3/6/8/10/11            44 -1032.84 2156.18 204.47   0.00
2/3/4/7/8/12               21 -1056.84 2156.25 204.54   0.00
2/3/4/8/11/12              21 -1056.85 2156.27 204.55   0.00
3/4/5/8/10/11              41 -1036.06 2156.29 204.57   0.00
2/3/4/7/8/10               23 -1054.87 2156.42 204.71   0.00
2/3/4/8/10/11              23 -1054.87 2156.43 204.71   0.00
2/3/4/7/10/11              23 -1054.89 2156.46 204.74   0.00
1/2/3/5/6/8                62 -1013.80 2156.58 204.87   0.00
1/2/3/6/8/10/12            44 -1033.05 2156.59 204.88   0.00
1/2/3/5/6/11               62 -1013.84 2156.66 204.94   0.00
1/2/3/5/6/12               62 -1013.87 2156.72 205.01   0.00
1/3/6/9/10/11/12           46 -1031.02 2156.78 205.06   0.00
1/2/3/6/7/10/11/12         45 -1032.11 2156.82 205.11   0.00
1/2/4/9/10/11/12           27 -1051.02 2156.98 205.26   0.00
1/2/3/6/7/8/10/11          45 -1032.18 2156.98 205.26   0.00
2/3/4/8                    19 -1059.25 2156.98 205.26   0.00
1/3/6/7/9/10/12            46 -1031.20 2157.12 205.40   0.00
2/3/4/11                   19 -1059.33 2157.13 205.41   0.00
2/3/4/7                    19 -1059.34 2157.15 205.44   0.00
2/3/4/7/11/12              21 -1057.29 2157.15 205.44   0.00
1/2/4/9/10                 25 -1053.19 2157.19 205.47   0.00
1/2/4/7/9/10/12            27 -1051.12 2157.19 205.48   0.00
1/2/3/5/6/7/8              63 -1013.03 2157.21 205.50   0.00
1/2/3/6/7/8/10/12          45 -1032.32 2157.24 205.53   0.00
1/3/6/9/10                 44 -1033.38 2157.26 205.54   0.00
1/2/3/5/6/7/12             63 -1013.14 2157.43 205.71   0.00
1/2/3/5/6/7/11             63 -1013.14 2157.43 205.71   0.00
1/2/3/6/8/10/11/12         45 -1032.42 2157.45 205.73   0.00
1/2/4/8/9/10/12            27 -1051.33 2157.60 205.89   0.00
3/4/5/7/8/10/11            42 -1035.76 2157.80 206.08   0.00
1/3/6/9/10/11              45 -1032.60 2157.81 206.09   0.00
1/3/6/8/9/10/12            46 -1031.56 2157.85 206.13   0.00
1/3/6/7/9/10/11/12         47 -1030.65 2158.15 206.44   0.00
1/2/3/5/6/8/12             63 -1013.53 2158.21 206.50   0.00
1/2/3/5/6/8/11             63 -1013.56 2158.26 206.54   0.00
2/3/4/7/8/11/12            22 -1056.83 2158.30 206.58   0.00
1/2/3/6/7/8/10/11/12       46 -1031.80 2158.32 206.61   0.00
1/3/6/7/9/10               45 -1032.88 2158.37 206.66   0.00
1/2/4/9/10/11              26 -1052.78 2158.43 206.72   0.00
2/3/4/7/8/10/11            24 -1054.87 2158.48 206.77   0.00
1/2/3/5/6/11/12            63 -1013.71 2158.57 206.85   0.00
1/2/4/7/9/10/11/12         28 -1050.86 2158.73 207.01   0.00
1/2/4/8/9/10               26 -1052.94 2158.76 207.04   0.00
1/3/6/8/9/10               45 -1033.10 2158.82 207.10   0.00
1/3/6/8/9/10/11/12         47 -1031.00 2158.85 207.14   0.00
1/2/4/7/9/10               26 -1052.99 2158.86 207.14   0.00
1/2/3/5/6/7/8/12           64 -1012.82 2158.96 207.25   0.00
2/3/4/7/8                  20 -1059.25 2159.02 207.30   0.00
2/3/4/8/11                 20 -1059.25 2159.02 207.30   0.00
1/2/4/8/9/10/11/12         28 -1051.02 2159.05 207.33   0.00
1/2/3/5/6/7/8/11           64 -1012.88 2159.07 207.35   0.00
1/3/6/7/9/10/11            46 -1032.17 2159.07 207.35   0.00
1/3/6/7/8/9/10/12          47 -1031.13 2159.10 207.38   0.00
2/3/4/7/11                 20 -1059.33 2159.18 207.46   0.00
1/2/4/7/8/9/10/12          28 -1051.11 2159.24 207.52   0.00
1/2/3/5/6/7/11/12          64 -1013.04 2159.40 207.68   0.00
1/3/6/8/9/10/11            46 -1032.42 2159.57 207.86   0.00
1/3/6/7/8/9/10             46 -1032.59 2159.90 208.19   0.00
1/2/3/5/6/8/11/12          64 -1013.31 2159.94 208.23   0.00
1/2/4/9/12                 23 -1056.65 2159.98 208.27   0.00
1/2/4/8/9/10/11            27 -1052.60 2160.15 208.44   0.00
1/3/6/7/8/9/10/11/12       48 -1030.62 2160.22 208.50   0.00
1/2/4/7/9/10/11            27 -1052.64 2160.22 208.50   0.00
1/2/4/7/8/9/10             27 -1052.69 2160.32 208.60   0.00
1/2/4/7/8/9/10/11/12       29 -1050.86 2160.80 209.08   0.00
1/3/6/7/8/9/10/11          47 -1031.98 2160.81 209.09   0.00
1/2/3/6/9                  45 -1034.12 2160.84 209.13   0.00
1/2/3/5/6/7/8/11/12        65 -1012.68 2160.85 209.13   0.00
1/2/3/6/9/11               46 -1033.12 2160.96 209.25   0.00
2/3/4/7/8/11               21 -1059.24 2161.06 209.34   0.00
1/2/4/9/11/12              24 -1056.25 2161.25 209.53   0.00
1/2/4/7/8/9/10/11          28 -1052.42 2161.85 210.13   0.00
1/2/4/7/9/12               24 -1056.57 2161.90 210.18   0.00
1/2/4/8/9/12               24 -1056.64 2162.02 210.30   0.00
1/2/3/6/7/9                46 -1033.69 2162.11 210.39   0.00
1/2/4/9                    22 -1058.75 2162.13 210.42   0.00
1/2/3/6/7/9/11             47 -1032.81 2162.47 210.75   0.00
1/2/3/6/9/12               46 -1033.95 2162.62 210.91   0.00
1/2/3/6/8/9                46 -1034.07 2162.87 211.15   0.00
1/2/3/6/9/11/12            47 -1033.01 2162.87 211.15   0.00
1/2/3/6/8/9/11             47 -1033.11 2163.06 211.35   0.00
1/2/4/9/11                 23 -1058.26 2163.21 211.50   0.00
1/2/4/7/9/11/12            25 -1056.21 2163.23 211.51   0.00
1/2/4/8/9/11/12            25 -1056.21 2163.23 211.51   0.00
1/3/5/6                    57 -1022.56 2163.33 211.61   0.00
1/3/5/6/12                 58 -1021.76 2163.88 212.16   0.00
1/2/3/6/7/9/12             47 -1033.54 2163.93 212.21   0.00
1/2/4/7/8/9/12             25 -1056.57 2163.95 212.23   0.00
1/2/4/8/9                  23 -1058.65 2163.98 212.26   0.00
1/3/5/6/7                  58 -1021.84 2164.04 212.32   0.00
1/2/4/7/9                  23 -1058.68 2164.04 212.33   0.00
1/2/3/6/7/8/9              47 -1033.63 2164.12 212.40   0.00
1/3/6/10/12                39 -1042.18 2164.32 212.60   0.00
1/2/3/6/7/9/11/12          48 -1032.71 2164.39 212.68   0.00
1/2/3/6/7/8/9/11           48 -1032.79 2164.56 212.85   0.00
1/2/3/6/8/9/12             47 -1033.93 2164.71 212.99   0.00
1/3/5/6/7/12               59 -1021.12 2164.75 213.04   0.00
1/2/3/6/8/9/11/12          48 -1033.01 2164.99 213.28   0.00
1/2/4/8/9/11               24 -1058.21 2165.16 213.45   0.00
1/3/6/10                   38 -1043.66 2165.18 213.46   0.00
1/3/6/7/10/12              40 -1041.57 2165.20 213.49   0.00
1/2/4/7/9/11               24 -1058.23 2165.20 213.49   0.00
1/2/4/7/8/9/11/12          26 -1056.18 2165.23 213.51   0.00
1/3/5/6/8                  58 -1022.51 2165.37 213.66   0.00
1/3/5/6/11                 58 -1022.53 2165.42 213.70   0.00
1/4/9/10/12                22 -1060.47 2165.57 213.85   0.00
1/3/6/10/11/12             40 -1041.76 2165.59 213.87   0.00
1/3/5/6/8/12               59 -1021.54 2165.59 213.88   0.00
3/4/9/12                   21 -1061.59 2165.74 214.03   0.00
1/2/4/7/8/9                24 -1058.55 2165.85 214.14   0.00
1/3/6/7/10                 39 -1042.96 2165.87 214.16   0.00
1/4/9/12                   19 -1063.71 2165.89 214.18   0.00
1/2/3/6/7/8/9/12           48 -1033.51 2166.00 214.29   0.00
1/3/5/6/11/12              59 -1021.75 2166.00 214.29   0.00
1/3/6/8/10/12              40 -1041.99 2166.05 214.33   0.00
1/3/5/6/7/8                59 -1021.79 2166.09 214.37   0.00
1/3/6/10/11                39 -1043.08 2166.12 214.40   0.00
1/3/5/6/7/11               59 -1021.83 2166.17 214.45   0.00
1/3/5/6/7/8/12             60 -1020.91 2166.49 214.77   0.00
1/2/3/6/7/8/9/11/12        49 -1032.71 2166.51 214.80   0.00
1/3/6/7/10/11/12           41 -1041.20 2166.56 214.85   0.00
1/4/9/10/11/12             23 -1059.97 2166.63 214.92   0.00
1/3/5/6/7/11/12            60 -1021.12 2166.91 215.19   0.00
1/4/9/11/12                20 -1063.22 2166.96 215.24   0.00
1/3/6/7/10/11              40 -1042.45 2166.96 215.24   0.00
1/3/6/7/8/10/12            41 -1041.40 2166.97 215.25   0.00
1/2/4/7/8/9/11             25 -1058.16 2167.13 215.41   0.00
1/3/6/8/10/11/12           41 -1041.49 2167.15 215.44   0.00
1/4/8/9/10/12              23 -1060.24 2167.17 215.45   0.00
1/3/6/8/10                 39 -1043.64 2167.23 215.52   0.00
1/4/7/9/10/12              23 -1060.36 2167.40 215.68   0.00
3/4/9/11/12                22 -1061.41 2167.44 215.73   0.00
1/3/5/6/8/11               59 -1022.47 2167.45 215.73   0.00
1/3/5/6/8/11/12            60 -1021.52 2167.69 215.98   0.00
3/4/7/9/12                 22 -1061.55 2167.74 216.02   0.00
3/4/8/9/12                 22 -1061.57 2167.76 216.05   0.00
1/4/8/9/12                 20 -1063.65 2167.82 216.10   0.00
1/4/7/9/12                 20 -1063.69 2167.90 216.19   0.00
1/3/6/7/8/10               40 -1042.94 2167.95 216.23   0.00
1/3/6/8/10/11              40 -1043.02 2168.10 216.39   0.00
1/3/6/7/8/10/11/12         42 -1040.95 2168.18 216.46   0.00
1/3/5/6/7/8/11             60 -1021.77 2168.21 216.49   0.00
1/4/8/9/10/11/12           24 -1059.84 2168.42 216.71   0.00
1/4/7/9/10/11/12           24 -1059.90 2168.55 216.84   0.00
1/3/5/6/7/8/11/12          61 -1020.90 2168.62 216.91   0.00
1/4/7/8/9/10/12            24 -1060.09 2168.93 217.21   0.00
1/3/6/7/8/10/11            41 -1042.40 2168.96 217.25   0.00
1/4/8/9/11/12              21 -1063.20 2168.97 217.25   0.00
1/4/7/9/11/12              21 -1063.21 2169.00 217.29   0.00
3/4/9/10/12                24 -1060.23 2169.21 217.50   0.00
3/4/7/9/11/12              23 -1061.39 2169.47 217.76   0.00
3/4/8/9/11/12              23 -1061.40 2169.49 217.77   0.00
3/4/7/8/9/12               23 -1061.53 2169.75 218.03   0.00
1/4/7/8/9/12               21 -1063.62 2169.82 218.10   0.00
1/4/7/8/9/10/11/12         25 -1059.74 2170.29 218.58   0.00
1/4/8/9/10                 22 -1062.85 2170.33 218.61   0.00
1/4/9/10                   21 -1063.90 2170.38 218.67   0.00
1/2/3/6                    39 -1045.44 2170.84 219.13   0.00
1/4/9                      18 -1067.25 2170.93 219.22   0.00
1/4/7/8/9/11/12            22 -1063.19 2171.01 219.30   0.00
3/4/9/10/11/12             25 -1060.14 2171.10 219.38   0.00
3/4/7/9/10/12              25 -1060.18 2171.16 219.44   0.00
3/4/8/9/10/12              25 -1060.19 2171.19 219.47   0.00
1/4/9/10/11                22 -1063.28 2171.19 219.48   0.00
3/4/7/8/9/11/12            24 -1061.38 2171.51 219.80   0.00
1/2/3/6/11                 40 -1044.73 2171.53 219.81   0.00
1/4/8/9/10/11              23 -1062.43 2171.54 219.83   0.00
1/2/4/5/10/12              42 -1042.65 2171.58 219.86   0.00
1/4/8/9                    19 -1066.63 2171.74 220.02   0.00
1/4/9/11                   19 -1066.66 2171.80 220.09   0.00
1/2/3/6/7                  40 -1044.89 2171.85 220.13   0.00
1/2/4/5/10                 41 -1043.87 2171.91 220.19   0.00
1/4/7/8/9/10               23 -1062.66 2172.01 220.29   0.00
2/4/5/7/9/10               41 -1044.02 2172.20 220.49   0.00
1/4/7/9/10                 22 -1063.80 2172.23 220.51   0.00
1/4/5/10/12                38 -1047.24 2172.35 220.63   0.00
2/4/5/7/9/10/12            42 -1043.07 2172.41 220.69   0.00
1/2/3/6/8                  40 -1045.19 2172.44 220.73   0.00
3/4/9                      20 -1066.01 2172.53 220.82   0.00
2/4/5/9/10                 40 -1045.25 2172.56 220.84   0.00
1/2/4/5/8/10/12            43 -1042.10 2172.58 220.86   0.00
1/2/3/6/7/11               41 -1044.30 2172.77 221.05   0.00
1/3/6/9                    41 -1044.33 2172.83 221.11   0.00
2/4/5/9/10/12              41 -1044.33 2172.83 221.12   0.00
1/2/3/6/12                 40 -1045.39 2172.84 221.13   0.00
1/2/3/6/8/11               41 -1044.35 2172.87 221.16   0.00
1/4/8/9/11                 20 -1066.19 2172.90 221.18   0.00
1/3/6/9/12                 42 -1043.31 2172.90 221.19   0.00
1/2/4/5/10/11/12           43 -1042.27 2172.93 221.21   0.00
1/4/7/9                    19 -1067.23 2172.94 221.23   0.00
3/4/7/9/10/11/12           26 -1060.10 2173.08 221.37   0.00
3/4/8/9/10/11/12           26 -1060.12 2173.11 221.39   0.00
3/4/7/8/9/10/12            26 -1060.12 2173.12 221.40   0.00
1/2/4/5/7/10/12            43 -1042.37 2173.13 221.42   0.00
1/4/7/9/10/11              23 -1063.23 2173.14 221.42   0.00
1/3/6/9/11                 42 -1043.46 2173.19 221.47   0.00
2/4/5/7/8/9/10             42 -1043.46 2173.20 221.49   0.00
1/2/4/5/10/11              42 -1043.52 2173.32 221.60   0.00
1/4/5/10                   37 -1048.79 2173.35 221.64   0.00
1/4/7/8/9/10/11            24 -1062.30 2173.35 221.64   0.00
1/2/4/5/7/10               42 -1043.59 2173.46 221.74   0.00
1/2/3/6/7/8                41 -1044.66 2173.49 221.77   0.00
1/3/6/9/11/12              43 -1042.56 2173.50 221.78   0.00
1/2/3/6/11/12              41 -1044.72 2173.60 221.88   0.00
3/4/8/9                    21 -1065.52 2173.61 221.90   0.00
1/4/5/10/11/12             39 -1046.83 2173.62 221.90   0.00
1/4/5/8/10/12              39 -1046.86 2173.67 221.96   0.00
1/4/7/8/9                  20 -1066.58 2173.69 221.97   0.00
1/2/4/5/8/10               42 -1043.72 2173.71 222.00   0.00
1/4/7/9/11                 20 -1066.66 2173.85 222.13   0.00
2/4/5/8/9/10               41 -1044.85 2173.86 222.15   0.00
1/2/3/6/7/12               41 -1044.86 2173.89 222.18   0.00
3/4/9/11                   21 -1065.68 2173.92 222.21   0.00
2/4/5/7/9/10/11            42 -1043.87 2174.01 222.29   0.00
2/4/5/7/8/9/10/12          43 -1042.83 2174.05 222.33   0.00
2/4/5/9/10/11              41 -1044.96 2174.08 222.36   0.00
1/2/4/5/8/10/11/12         44 -1041.83 2174.15 222.44   0.00
1/4/5/7/10/12              39 -1047.10 2174.15 222.44   0.00
1/2/3/6/7/8/11             42 -1043.95 2174.17 222.46   0.00
1/3/6/7/9                  42 -1043.97 2174.21 222.50   0.00
2/4/5/7/9/10/11/12         43 -1042.92 2174.22 222.51   0.00
1/2/4/5/7/8/10/12          44 -1041.88 2174.25 222.53   0.00
1/2/3/6/8/12               41 -1045.07 2174.30 222.58   0.00
1/2/4/5/7/10/11/12         44 -1041.90 2174.30 222.58   0.00
2/4/5/9/10/11/12           42 -1044.05 2174.37 222.65   0.00
1/3/6/7/9/12               43 -1043.00 2174.39 222.68   0.00
3/4/7/9                    21 -1066.00 2174.58 222.86   0.00
1/3/6/8/9                  42 -1044.17 2174.62 222.90   0.00
2/4/5/8/9/10/12            42 -1044.19 2174.66 222.94   0.00
1/2/4/5/7/10/11            43 -1043.15 2174.69 222.97   0.00
1/3/6/7/9/11               43 -1043.17 2174.72 223.00   0.00
1/4/5/10/11                38 -1048.45 2174.76 223.04   0.00
1/2/3/6/8/11/12            42 -1044.27 2174.82 223.10   0.00
1/2/3/6/7/11/12            42 -1044.29 2174.86 223.14   0.00
1/4/7/8/9/11               21 -1066.17 2174.91 223.20   0.00
1/3/6/8/9/12               43 -1043.29 2174.96 223.24   0.00
3/4/7/8/9/10/11/12         27 -1060.07 2175.07 223.36   0.00
1/3/6/7/9/11/12            44 -1042.30 2175.10 223.39   0.00
1/3/6/8/9/11               43 -1043.37 2175.12 223.40   0.00
2/4/5/7/8/9/10/11          43 -1043.37 2175.12 223.41   0.00
3/4/8/9/11                 22 -1065.28 2175.18 223.46   0.00
1/4/5/7/10                 38 -1048.66 2175.19 223.47   0.00
1/4/5/8/10/11/12           40 -1046.57 2175.20 223.48   0.00
1/2/4/5/8/10/11            43 -1043.42 2175.23 223.51   0.00
1/4/5/7/10/11/12           40 -1046.62 2175.29 223.58   0.00
1/2/4/5/7/8/10             43 -1043.47 2175.32 223.60   0.00
1/4/5/8/10                 38 -1048.77 2175.40 223.68   0.00
1/2/3/6/7/8/12             42 -1044.57 2175.42 223.70   0.00
2/4/5/8/9/10/11            42 -1044.61 2175.49 223.78   0.00
1/4/5/7/8/10/12            40 -1046.74 2175.55 223.84   0.00
1/3/6/8/9/11/12            44 -1042.55 2175.60 223.88   0.00
3/4/7/8/9                  22 -1065.50 2175.62 223.91   0.00
1/2/4/5/7/8/10/11/12       45 -1041.53 2175.67 223.95   0.00
2/4/5/9/12                 38 -1049.02 2175.89 224.18   0.00
2/4/5/7/8/9/10/11/12       44 -1042.72 2175.94 224.23   0.00
